Columna 1,Latitud,Longitud
Armstrong,-32.7862754,-61.6035897
Bouquet,-32.4236136,-61.8897148
Las Parejas,-32.9440204,-60.8825132
Las Rosas,-32.4756443,-61.5761736
Montes de Oca,-32.566261,-61.7683388
Tortugas,-32.7464842,-61.8182922
Arequito,-33.1448719,-61.4698345
Arteaga,-33.089917,-61.7922017
Berabevú,-33.3408224,-61.8621362
Bigand,-33.3739862,-61.1845121
Casilda,-33.0443368,-61.1641779
Chabás,-33.2456886,-61.3588841
Chañar Ladeado,-33.3261137,-62.0352689
Gödeken,-33.4004023,-61.8444315
Los Molinos,-33.1023459,-61.3259258
Los Quirquinchos,-33.3787101,-61.7145281
San José de la Esquina,-33.1141749,-61.7018404
Sanford,-33.1457648,-61.2771172
Villada,-33.3501978,-61.4468301
Aldao,-32.7046372,-60.8159601
Angélica,-31.5506336,-61.5464326
Ataliva,-30.9966491,-61.4309514
Aurelia,-31.9064106,-61.2757687
Bauer y Sigel,-31.2716187,-61.9430307
Bella Italia,-31.2824366,-61.41188
Castellanos,-31.2095963,-61.7215305
Colonia Bicha,-30.8537017,-61.8496044
Colonia Bigand,-33.475035,-61.1688339
Colonia Cello,-31.432109,-61.8414869
Colonia Iturraspe,-31.4874639,-61.6183377
Colonia Margarita,-31.6860951,-61.6455175
Colonia Raquel,-30.8368073,-61.488036
Coronel Fraga,-31.1739874,-61.9180833
Egusquiza,-31.0954185,-61.6280593
Esmeralda,-32.9706056,-60.6267718
Estación Clucellas,-31.5241285,-61.7182608
Eusebia y Carolina,-30.9396875,-61.860081
Eustolia,-31.5746991,-61.7834568
Fidela,-31.6695762,-60.7543154
Frontera,-31.4373906,-62.0657301
Galisteo,-31.5972005,-60.7133258
Garibaldi,-31.6494007,-61.8069694
Hugentobler,-30.9064094,-61.7512585
Humberto Primo,-30.8683155,-61.3480283
Josefina,-31.4063121,-61.9921305
Lehmann,-31.1252922,-61.4523155
María Juana,-31.6755638,-61.7516598
Mauá,-30.775486,-61.2602164
Plaza Clucellas,-31.4543995,-61.7046922
Presidente Roca,-31.2121164,-61.6135175
Pueblo Marini,,
Rafaela,-31.2526923,-61.4916758
Ramona,-32.9100499,-60.7978514
Saguier,-32.9398348,-60.6445259
San Antonio,-31.2123674,-61.7248001
San Vicente,-31.6981627,-61.5716039
Santa Clara de Saguier,-31.3348439,-61.8266395
Sunchales,-30.9450891,-61.5608072
Susana,-32.3765536,-61.0836514
Tacural,-30.8461294,-61.591943
Tacurales,-30.8290497,-61.7506979
Vila,-31.1903062,-61.8325798
Villa San José,-31.3366728,-61.6216044
Virginia,-30.7384001,-61.3405596
Zenón Pereyra,-32.8921837,-60.7128104
Villa Constitución,-33.227206,-60.3298225
Alcorta,-33.538335,-61.1239406
Bombal,,
Cañada Rica,-33.516075,-60.6123989
Cepeda,-32.9948438,-60.6250889
Empalme Villa Constitución,-33.2604961,-60.3832734
General Gelly,-33.6000755,-60.5978181
Godoy,-32.9650858,-60.7211951
Juan Bernabé Molina,-33.4943353,-60.5162353
Juncal,-33.7163003,-61.0509018
La Vanguardia,,
Máximo Paz,-33.5224068,-60.9472367
Pavón,-33.2428466,-60.4076314
Pavón Arriba,-33.4814482,-60.9195029
Peyrano,-33.5391435,-60.8021203
Rueda,-32.9689887,-60.6560452
Santa Teresa,-32.8993463,-60.8902644
Sargento Cabral,-31.620177,-60.6900054
Theobald,-33.3111294,-60.3123232
Cayastá,-31.2006727,-60.1596339
Colonia Mascías,-30.8032421,-60.0058506
Helvecia,-31.1017987,-60.0888941
Saladero Mariano Cabal,-30.8795361,-60.037479
Santa Rosa de Calchines,-31.4096375,-60.3080785
Aarón Castellanos,-34.3326016,-62.3746936
Amenábar,-34.1330196,-62.4222085
Cafferata,-32.9810839,-60.6811691
Cañada del Ucle,,
Carmen,-33.7312032,-61.7626668
Carreras,-33.5965144,-61.3109435
Chapuy,-33.7993721,-61.745134
Chovet,-33.5994727,-61.6065847
Christophersen,-34.1814252,-62.0245275
Diego de Alvear,-33.0514941,-60.6154576
Elortondo,-33.6990435,-61.6204733
Firmat,-32.2357347,-60.9835323
Hughes,-33.8345362,-61.3810914
La Chispa,-33.5435344,-61.9734611
Labordeboy,-33.7176738,-61.3140452
Lazzarino,-34.2424391,-62.4190316
Maggiolo,-33.7211481,-62.2461083
María Teresa,-32.2339892,-60.988441
Melincué,-33.6609804,-61.4571172
Miguel Torres,21.0148934,-101.8485194
Murphy,-33.6434314,-61.8581901
Rufino,-34.2617313,-62.7110819
San Eduardo,-32.7620065,-60.7654259
San Francisco de Santa Fe,-33.5885406,-62.1249989
San Gregorio,-34.3252403,-62.035798
Sancti Spiritu,-34.0076455,-62.2414297
Santa Isabel,-33.9104909,-61.7420665
Teodelina,-34.1895388,-61.5265613
Venado Tuerto,-33.7456906,-61.9690915
Villa Cañás,-34.005494,-61.6059937
Wheelwright,-33.7922704,-61.2107401
Arroyo Ceibal,-28.723128,-59.4778497
Avellaneda,-29.1175471,-59.6586236
Berna,-29.2739402,-59.8458848
El Arazá,-29.1321979,-59.947748
El Rabón,-28.2274303,-59.2628861
El Sombrerito,-28.6553613,-59.4269256
Florencia,-28.0405521,-59.2181955
Guadalupe Norte,-28.939216,-59.5625112
Ingeniero Chanourdie,-28.7590394,-59.5813194
La Sarita,-28.973039,-59.8504271
Lanteri,-28.839945,-59.6356565
Las Garzas,-28.8470482,-59.4997537
Las Toscas,-28.3550102,-59.2593412
Los Laureles,-29.3686865,-59.7363736
Malabrigo,-29.3489728,-59.9700883
Nicanor Molinas,-29.1299034,-59.8325952
Reconquista,-29.1443478,-59.6437728
San Antonio de Obligado,-28.3842794,-59.2643413
Tacuarendí,-28.412835,-59.2601746
Villa Ana,-28.4927126,-59.6134742
Villa Guillermina,-28.2444887,-59.4516117
Villa Ocampo,-28.4867657,-59.3547373
Bustinza,-32.738261,-61.2908751
Cañada de Gómez,-32.8234448,-61.3905125
Carrizales o también conocido como Clarke,,
Clason,,
Correa,-32.84599,-61.2517054
Lucio V. López,-32.7126253,-61.0215965
Oliveros,-32.5764738,-60.85222
Pueblo Andino,-32.669687,-60.8753866
Salto Grande,-32.6659822,-61.0883325
Serodino,-32.6036519,-60.9474434
Totoras,-32.5842697,-61.1667933
Villa Eloísa,-32.9757501,-61.5690164
Arroyo Aguiar,,
Arroyo Leyes,-31.5586336,-60.5205283
Cabal,-31.6638952,-60.7218969
Campo Andino,,
Candioti,-31.6390139,-60.6891063
Emilia,-33.747517,-61.9676859
Laguna Paiva,-31.9659442,-60.9228834
